source,author,title,description,url,urlToImage,publishedAt,content
"{'id': None, 'name': 'Economictimes.com'}",Prashant Mahesh,Active share decoded: The metric that reveals a fund's true strategy,Unsure if your fund manager is truly active? Active share reveals how much a mutual fund's portfolio deviates from its benchmark index. A low active share might mean paying active fees for index-like performance. Understanding this metric helps investors iden…,https://m.economictimes.com/mf/analysis/active-share-decoded-the-metric-that-reveals-a-funds-true-strategy/articleshow/132103629.cms,"https://img.etimg.com/thumb/msid-132103630,width-1200,height-630,imgsize-209905,overlay-etwealthmutualfunds/articleshow.jpg",2026-07-01 00:42:36+00:00,"Is your fund manager truly active or just hugging the benchmark? Active share can help you find out.WHAT IS AN ACTIVE SHARE IN A MUTUAL FUND SCHEME?
It measures how a mutual fund schemes portfolio i… [+2469 chars]"
"{'id': 'rt', 'name': 'RT'}",RT,Why Europe still needs Russia to keep the lights on,"The EU wants to end reliance on Russian nuclear fuel, but enrichment capacity, VVER reactors, and fuel-assembly shortages make it costly Read Full Article at RT.com",https://www.rt.com/business/642519-why-europe-still-needs-russia/,https://mf.b37mrtl.ru/files/2026.07/article/6a47956320302749494e6906.jpg,2026-07-03 14:41:41+00:00,"Earlier this week, fuel loading began at the final unit of Slovakia’s Mochovce Nuclear Power Plant. This is the final step before the commercial launch later this summer. The project – construction f… [+13105 chars]"
"{'id': None, 'name': 'Yahoo Entertainment'}",Alex Kimani,Global Refiners Are Cutting Out Oil Traders To Buy Venezuelan Crude Directly,"By selling directly to refiners and joint-venture partners, Venezuela captures higher realized prices while reshaping crude trading flows and Gulf Coast refi...",https://finance.yahoo.com/energy/articles/global-refiners-cutting-oil-traders-000000289.html,https://s.yimg.com/lo/mysterio/api/08AE60F1355E3260CBD9D09897A023445E13D1D499BEA636F4ABEA6044286535/subgraphmysterio/resizefill_w1200_h675;quality_80;format_webp/https:%2F%2Fmedia.zenfs.com%2Fen%2Foilprice.com%2F4461f7223ca897e60617a641ed11e265,2026-07-23 00:00:00+00:00,"Commodity traders are having the rug pulled out from under one of their biggest paydays yet as refiners start bypassing oil and traders and buying Venezuelan crude directly, according to Reuters. Ref… [+5554 chars]"
"{'id': None, 'name': 'Retail-insight-network.com'}",Shubhendu Vimal,Tata’s Westside plans up to 100 store openings a year – report,"Until now, it had been adding only ten to 15 outlets a year.",https://www.retail-insight-network.com/news/westside-plans-100-store-openings/,https://s.yimg.com/lo/mysterio/api/7C209F65906EAF638D36BB62C5FEEB8F09633D3DDCBD4BBB23BD9A3169E82D33/subgraphmysterio/resizefill_w1200_h675;quality_80;format_webp/https:%2F%2Fmedia.zenfs.com%2Fen%2Fretail_insight_network_724%2F4e7bcdfde2bc580a537ddeecbe3298e7,2026-07-20 09:16:53+00:00,"Tata Group's fashion and lifestyle retail chain Westside is planning to open up to 100 outlets a year, marking a substantial step-up from its previous rate of expansion.
Operated by Tata subsidiary … [+1872 chars]"
"{'id': None, 'name': 'Yahoo Entertainment'}",Proactive,American Resources secures $25M U.S. defense investment for Rare Earth refining expansion,American Resources Corp CFO Kirk Taylor joined Steve Darling from Proactive to discuss the company's $25 million investment from the U.S. Department of Wa...,https://finance.yahoo.com/video/american-resources-secures-25m-u-181813192.html,https://s.yimg.com/lo/mysterio/api/65391AD4F7B029CE793EEAEB4389A4DF962A4A97C34B5C09FEA003C51C4DD865/subgraphmysterio/resizefill_w1200_h675;quality_80;format_webp/https:%2F%2Fmedia.zenfs.com%2Fen%2Fproactive_video_751%2F81294424b6b80436a0d0c1fde7f1afc8,2026-07-14 18:18:13+00:00,"American Resources Corp CFO Kirk Taylor joined Steve Darling from Proactive to discuss the company's $25 million investment from the U.S. Department of War's Economic Defense Unit, in partnership wit… [+2063 chars]"
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Debaroti Adhikary,Ahead of Market: 10 things that will decide stock market action on Monday,"Indian stock markets surged on Friday, with Sensex and Nifty posting gains exceeding 0.3%. This upward trend was fueled by a calmer Middle East situation, reduced expectations of US Federal Reserve rate hikes, and positive domestic factors like the India-Japa…",https://economictimes.indiatimes.com/markets/stocks/news/ahead-of-market-10-things-that-will-decide-stock-market-action-on-monday/articleshow/132194145.cms,"https://img.etimg.com/thumb/msid-132194133,width-1200,height-630,imgsize-54790,overlay-etmarkets/articleshow.jpg",2026-07-05 11:35:15+00:00,"The Indian stock market extended gains on Friday, with the Sensex and Nifty rising more than 0.3% each, supported by easing tensions in the Middle East, lower expectations of Fed rate hikes, and othe… [+3561 chars]"
"{'id': None, 'name': 'Gizmodo.com'}",Ellyn Lapointe,What Is the Smartest Way to Power the AI Boom?,"The power demand of AI data centers is only going to grow, so the U.S. energy grid needs to adapt—fast.",https://gizmodo.com/what-is-the-smartest-way-to-power-the-ai-boom-2000784118,https://gizmodo.com/app/uploads/2026/07/california-data-center-giz-asks-1-1200x675.jpg,2026-07-11 11:30:17+00:00,"Few events in history have tested the U.S. energy grid like the AI revolution. As data centers proliferate across the country, their cumulative power demand is projected to double by next year, risin… [+12043 chars]"
"{'id': 'al-jazeera-english', 'name': 'Al Jazeera English'}",Nils Adler,Russia-Ukraine war: What is Europe’s new ballistic missile shield plan?,Nine European countries and Ukraine have launched a coalition to build Europe's own defence against ballistic missiles.,https://www.aljazeera.com/news/2026/7/14/russia-ukraine-war-what-is-europes-new-ballistic-missile-shield-plan,https://www.aljazeera.com/wp-content/uploads/2026/07/ap_6a562f5ecb10d-1784033118.jpg?resize=1920%2C1440,2026-07-14 14:03:52+00:00,"On Monday, the leaders of nine European countries and Ukraine gathered in Paris and announced a joint programme to develop Europes own Integrated Anti-Ballistic Missile Coalition.
In a declaration, … [+5857 chars]"
"{'id': None, 'name': 'DW (English)'}",Mark Hallam,Sweden eases mining permits to cut China minerals reliance,Sweden has declared the mining of critical minerals and rare earths a national security interest. This will ease and expedite the permit process. The government said the step was needed to counter dependence on China.,https://www.dw.com/en/sweden-eases-mining-permits-to-cut-china-minerals-reliance/a-78087394,https://static.dw.com/image/78091102_6.jpg,2026-07-23 18:08:00+00:00,"Sweden on Thursday announced plans to try to boost its mining sector, particularly when it comes to rare earths, and counter European dependence on China. 
Resource-rich Sweden is already home to Eu… [+4167 chars]"
"{'id': None, 'name': 'Naturalnews.com'}",Patrick Lewis,"Western Nations Face $23.6 Trillion Bill to End China Dependence, Report Says","Western nations face an estimated $23.6 trillion bill to fully decouple their supply chains from China, according to a new report. The figure, which covers the cost of rebuilding semiconductor, pharmaceutical, energy and rare-earth processing industries, unde…",https://www.naturalnews.com/2026-07-15-western-nations-face-bill-end-china-dependence.html,https://www.naturalnews.com/wp-content/uploads/sites/91/2026/07/china-dependence-decoupling-costs-supply-chain-resilience-2726-original.jpg,2026-07-15 06:00:00+00:00,"Western nations face an estimated $23.6 trillion bill to fully decouple their supply chains from China, according to a new report. The figure, which covers the cost of rebuilding semiconductor, pharm… [+6691 chars]"
"{'id': None, 'name': ""Tom's Hardware UK""}","ashilov@gmail.com (Anton Shilov) , Anton Shilov","California's largest AI data center project suing for access to 287 million gallons of Colorado River water, 0.03% of Imperial Valley’s supply — plaintiffs claim project equivalent to 160-acre farm amidst about jobs and reallocation of farmland",Buildout of large AI data centers in regions historically specializing on agriculture may have long-lasting,https://www.tomshardware.com/tech-industry/artificial-intelligence/californias-largest-ai-data-center-project-suing-for-access-to-287-million-gallons-of-colorado-river-water-0-03-percent-of-imperial-valleys-supply-plaintiffs-claim-project-equivalent-to-160-acre-farm-amidst-about-jobs-and-reallocation-of-farmland,https://cdn.mos.cms.futurecdn.net/MQEF3FGDnEs6gC4KtkGjKG-2560-80.jpg,2026-07-27 09:50:20+00:00,"Imperial Valley Computer Manufacturing has filed a lawsuit in a bid to gain access to Colorado River water, 287 million gallons of which it says it needs to cool a 330-megawatt data center, which wou… [+4773 chars]"
"{'id': 'rt', 'name': 'RT'}",RT,India raises security concerns over new WhatsApp feature,"India has warned Meta that WhatsApp’s planned username feature could fuel phishing, impersonation, and cyber fraud, seeking a response within three days",https://www.rt.com/india/642487-india-raises-security-concerns-over/,https://mf.b37mrtl.ru/files/2026.07/article/6a465173203027440b3fe2d8.jpg,2026-07-02 12:11:38+00:00,"India has raised concerns over the roll-out of usernames by messaging app WhatsApp, calling it a potential cybersecurity risk.
In a notice to Meta, which owns WhatsApp, New Delhi said on Wednesday t… [+2535 chars]"
"{'id': None, 'name': 'Kommersant.ru'}",Коммерсантъ,Япония и Индия договорились сотрудничать в сфере чипов и ИИ,"Премьер-министр Японии Санаэ Такаити и ее индийский коллега Нарендра Моди на встрече 2 июля в Нью-Дели договорились активизировать сотрудничество в области полупроводников, искусственного интеллекта (ИИ), ценных минералов, а также в сфере обеспечения безопасн…",https://www.kommersant.ru/doc/8782324,https://iv.kommersant.ru/SocialPics/8782324_49_0_1583871824,2026-07-03 04:44:21+00:00,", , , , . , . , - 1980- , , , , .
 . Nvidia Reliance Industries Tata Group . - , - . , , , . , , , , , ."
"{'id': None, 'name': 'Yahoo Entertainment'}",Nora Eckert,Bosch begins sample production at its first US semiconductor plant,"German auto component and chip maker Bosch is beginning sample production at its first U.S. semiconductor factory, the company said Monday, finalizing a $225...",https://finance.yahoo.com/technology/articles/bosch-begins-sample-production-first-153203233.html,https://s.yimg.com/lo/mysterio/api/D55B3B2167DFDF9D92ADF18CCCD7035EE7E4C55F612EFB2893FC768D367DAABB/subgraphmysterio/resizefill_w1200_h800;quality_80;format_webp/https:%2F%2Fmedia.zenfs.com%2Fen%2Freuters-finance.com%2F5d251e84792256eedc1c3b9db44028ec,2026-07-13 15:32:03+00:00,"By Nora Eckert
DETROIT, July 13 (Reuters) - German auto component and chip maker Bosch is beginning sample production at its first U.S. semiconductor factory, the company said Monday, finalizing a $… [+2343 chars]"
"{'id': None, 'name': 'Packaging-gateway.com'}",Satarupa Bhowmik,APR expands PCR certification across plastic supply chain,"Until now, the certification effort had centred on PCR material made by recyclers in pellet or flake form.",https://www.packaging-gateway.com/news/apr-expands-pcr-certification/,https://s.yimg.com/lo/mysterio/api/A379670BA54D771E66756EC1E8E851B73B761398AF85CE179647D065C9F88A3E/subgraphmysterio/resizefill_w1200_h675;quality_80;format_webp/https:%2F%2Fmedia.zenfs.com%2Fen%2Fpackaging_gateway_559%2Ff3cb4c2ef49996af5235b3e388996e00,2026-07-13 13:26:28+00:00,"The Association of Plastic Recyclers (APR), a nonprofit focused on plastics recycling in North America, has broadened its PCR Certification Program.
The initiative now covers verification of the pre… [+2281 chars]"
"{'id': None, 'name': 'Eiga.com'}",映画.com,ランヴィール・シン“神の仕事”に命をかける「インド映画が世界の中心に立つ瞬間を、僕はこの目で見たい」【「ドゥランダル作戦」インタビュー】,ムンバイ同時多発テロなど実際に起こったテロ事件や、実在の人物をベースにしたインド映画「ドゥランダル作戦」が、7月10日に公開される。映画.comでは、主演ランヴィール・シンのオフィシャルインタビューを入手した。本作は、死刑を宣告された男・ハ,https://eiga.com/news/20260703/22/,https://media.eiga.com/images/buzz/127356/b40573a8d697a86e.jpg,2026-07-03 09:00:00+00:00,"Reliance Industries Limited, Mumbai, 2025. All Rights Reserved."
"{'id': None, 'name': 'The Punch'}",Punch Newspapers,Dangote breaks ground on $17bn Kenya refinery,"Dangote Industries Limited begins work on its $17bn, 700,000-bpd Kenya refinery, set to become East Africa’s largest and reduce reliance on imported fuels.

Read More: https://punchng.com/dangote-breaks-ground-on-17bn-kenya-refinery/",https://punchng.com/dangote-breaks-ground-on-17bn-kenya-refinery/,https://punchng.com/wp-content/uploads/2026/06/Dangote-Refinery.webp,2026-07-08 06:00:30+00:00,"Dangote Industries Limited has commenced preliminary works on its proposed $17bn, 700,000-barrels-per-day refinery in Kenya, marking the first major step towards what is expected to become East Afric… [+7521 chars]"
"{'id': None, 'name': 'Geeky Gadgets'}",Julian Horsey,AMD Ryzen AI Halo Replaces Cloud Servers with 128GB RAM,"The AMD Ryzen AI Halo represents a significant development in local AI processing by focusing on privacy and eliminating reliance on cloud services. Equipped with the Ryzen AI Max Plus 395 chip and 128 GB LPDDR5X unified memory, it is built to handle resource…",https://www.geeky-gadgets.com/amd-ryzen-ai-halo/,https://www.geeky-gadgets.com/wp-content/uploads/2026/07/amd-ryzen-halo-1.jpg,2026-07-24 07:45:00+00:00,The AMD Ryzen AI Halo represents a significant development in local AI processing by focusing on privacy and eliminating reliance on cloud services. Equipped with the Ryzen AI Max Plus 395 chip and 1… [+7514 chars]
"{'id': None, 'name': '24/7 Wall St.'}",Ryne Mauck,The Next AI Winners May Not Be the Magnificent Seven: 3 Mid-Cap ETFs to Watch,"The Magnificent Seven grabbed the first wave of AI profits, but a quieter group of mid-cap companies is quietly positioning for what comes next. Three ETFs a...",https://247wallst.com/investing/etf/2026/07/23/the-next-ai-winners-may-not-be-the-magnificent-seven-3-mid-cap-etfs-to-watch/,https://s.yimg.com/lo/mysterio/api/9C1B109263BD41EB98A8CC79D1141976058A589164B5292B37BC5270240CE3C9/subgraphmysterio/resizefill_w1200_h674;quality_80;format_webp/https:%2F%2Fmedia.zenfs.com%2Fen%2F24_7_wall_st__718%2F8cf74496bcae83024772962758f99c5f,2026-07-23 22:45:37+00:00,"Quick Read
<ul><li>XMMO's momentum strategy has delivered nearly 100% over three years, while VOT and IWP offer broader mid-cap AI exposure at lower cost.
</li><li>As AI adoption spreads beyond sem… [+7084 chars]"
"{'id': 'bloomberg', 'name': 'Bloomberg'}",PTI,How Ambani built project Jupiter to launch India’s biggest IPO,"Reliance Industries quietly worked to overcome regulatory hurdles, attract strategic investors and pave the way for Jio Platforms’ proposed public listing",https://www.bloomberg.com/news/articles/2026-06-30/how-ambani-built-project-jupiter-to-launch-india-s-biggest-ipo,https://bl-i.thgim.com/public/incoming/mvevex/article71164408.ece/alternates/LANDSCAPE_1200/Mukesh-Ambani-uGJGG4SPLV.6.jpg.jpg,2026-06-30 04:22:50+00:00,"Last August, Mukesh Ambani promised shareholders that Jio Platforms Ltd. would seek a stock market listing in the first half of 2026.
Unknown to shareholders, Reliance Industries Ltd. was trying to … [+3401 chars]"
"{'id': None, 'name': 'BusinessLine'}",Amit Vijay  Mohile,Reliance Industries Q1 FY27: Oil-to-Chemicals EBITDA rises 17%; solar and battery manufacturing plans advance,Reliance Industries' O2C EBITDA rose 17% on crude diversification and stronger fuel margins as it advanced 20 GW solar and 40 GWh battery plans.,https://www.thehindubusinessline.com/companies/reliance-industries-q1-fy27-oil-to-chemicals-ebitda-rises-17-solar-and-battery-manufacturing-plans-advance/article71235762.ece,https://bl-i.thgim.com/public/incoming/4v044o/article71235774.ece/alternates/LANDSCAPE_1200/Anant%20Ambani.jpg,2026-07-18 01:48:46+00:00,"Reliance Industries on Friday said its Oil-to-Chemicals (O2C) business navigated the quarters energy-market disruption through crude diversification, product placement in deficit markets and favourab… [+3762 chars]"
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ET Bureau,Reliance Industries gets Sebi warning over insider trades,Reliance Industries received an administrative warning from Sebi regarding insider trading.  The regulator found employees traded shares with unpublished price-sensitive information.  Sebi investigated trading activity during a specific period in 2024.  The c…,https://economictimes.indiatimes.com/markets/stocks/news/reliance-industries-gets-sebi-warning-over-insider-trades/articleshow/132228049.cms,"https://img.etimg.com/thumb/msid-132228044,width-1200,height-630,imgsize-16496,overlay-etmarkets/articleshow.jpg",2026-07-07 00:38:45+00:00,Mumbai: Reliance Industries (RIL) on Monday said it received an administrative warning from the Securities and Exchange Board of India after the regulator found that two of its employees and one imme… [+986 chars]
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Akash Podishetti,"Reliance Industries, Jio Financial announce Q1 earnings dates. Check details","Reliance Industries and Jio Financial Services will report their June-quarter earnings next week.  Reliance Industries' board meets Friday, July 17, 2026, for financial results.  Jio Financial Services will announce its first-quarter results on Thursday, July…",https://economictimes.indiatimes.com/markets/stocks/earnings/reliance-industries-jio-financial-announce-q1-earnings-dates-check-details/articleshow/132312604.cms,"https://img.etimg.com/thumb/msid-132312591,width-1200,height-630,imgsize-39140,overlay-etmarkets/articleshow.jpg",2026-07-10 12:57:39+00:00,"(What's moving Sensex and Nifty Track latest market news, stock tips, Budget 2025, Share Market on Budget 2025 and expert advice, on ETMarkets. Also, ETMarkets.com is now on Telegram. For fastest new… [+330 chars]"
"{'id': None, 'name': 'Yahoo Entertainment'}",Ricardo Pillai,Is Realty Income Corporation (O) A Good Stock To Buy Now?,"Is O a good stock to buy? We came across a bullish thesis on Realty Income Corporation on TheDividendPrince’s Substack. In this article, we will summarize th...",https://finance.yahoo.com/markets/stocks/articles/realty-income-corporation-o-good-210830366.html,https://s.yimg.com/lo/mysterio/api/FB0B3E441C3B732719F76E17F7DD6B445D3E50C26D3B5389E53EC92A39C640D5/subgraphmysterio/resizefill_w1200_h699;quality_80;format_webp/https:%2F%2Fmedia.zenfs.com%2Fen%2Finsidermonkey.com%2F8beb7b503e45ea928e74e88d4b1702e3,2026-06-29 21:08:30+00:00,"Is O a good stock to buy? We came across a bullish thesis on Realty Income Corporation on TheDividendPrince's Substack. In this article, we will summarize the bulls' thesis on O. Realty Income Corpor… [+3454 chars]"
"{'id': None, 'name': '24/7 Wall St.'}",John Seetoo,INDA vs. EPI: Which India ETF Best Captures the World’s Fastest-Growing Big Economy?,"India remains the world’s fastest-growing large economy, and two ETFs dominate the way U.S. investors buy into that story: the iShares MSCI India ETF (CBOE:I...",https://247wallst.com/investing/etf/2026/07/10/inda-vs-epi-which-india-etf-best-captures-the-worlds-fastest-growing-big-economy/,https://s.yimg.com/lo/mysterio/api/C442A8CC20F973357301FB258504F83ACE558EADB022EA4854E971A0D10DFA62/subgraphmysterio/resizefill_w1200_h800;quality_80;format_webp/https:%2F%2Fmedia.zenfs.com%2Fen%2F24_7_wall_st__718%2Ffd3f8c18f8d7efa1933662024ad58c98,2026-07-10 14:28:25+00:00,"Quick Read
<ul><li>EPI has beaten INDA over every measured timeframe by weighting holdings by net income rather than market cap, returning 131% vs. 91% over ten years.
</li><li>INDA charges 0.61% v… [+5047 chars]"
"{'id': None, 'name': 'Globalsecurity.org'}",John Pike,Regional industries must become partners in Viksit Bharat journey: Raksha Mantri at Vibrant Gujarat Regional Conference,"""Viksit Bharat is not merely a goal of economic development, but a resolve to build an economically prosperous, technologically capable, and socially empowered country,"" said Raksha Mantri Shri Rajnath Singh as he called upon regional industries to become par…",https://www.globalsecurity.org/wmd/library/news/india/2026/india-260630-india-pib02.htm,No Image,2026-06-30 12:00:00+00:00,"India - Press Information Bureau
Ministry of Defence
""Need to transform regional strengths into national capabilities, local innovations into global competitiveness &amp; industrial growth into str… [+8290 chars]"
"{'id': None, 'name': 'Hwupgrade.it'}",Unknown,"Film prodotti con l'IA: Disney, insieme a numerosi produttori, interessati al modello cinese Seedance","Seedance, il modello di generazione video sviluppato da ByteDance, sta trovando spazio tra registi e produttori cinematografici grazie a un'elevata qualità visiva e costi estremamente contenuti. Nonostante le polemiche sul copyright e le preoccupazioni dell'i…",https://www.hwupgrade.it/news/web/film-prodotti-con-l-ia-disney-insieme-a-numerosi-produttori-interessati-al-modello-cinese-seedance_155938.html,https://www.hwupgrade.it/i/n/Chronicles_Of_Bone_720.jpg,2026-07-07 16:36:42+00:00,L'intelligenza artificiale dedicata alla produzione video continua a guadagnare terreno nell'industria cinematografica. Dopo le polemiche nate attorno a un filmato generato artificialmente che mostra… [+3829 chars]
